217,Hem Trobeli 34033SV ,19000,2800000,450000
218,0077SG Sjaj Grafit  ,19000,2050000,800000
219,DIJAMANT GOD 1570SU ,19000,1320000,510000
220,0077SG Sjaj Grafit  ,19000,2050000,800000
221,DIJAMANT 1570       ,19000,2800000,586000
222,WENGE NAIROBI 37648 ,19000,2800000,850000
223,ARTIC W SJAJ 606SG  ,19000,2800000,626000
224,AK 18 OBOS VINO     ,18000,2303000,1300000
225,JAVOR CORE 37776    ,19000,2800000,685500
226,Lavanda 28536BS     ,19000,1415000,1698500
227,HRAST AMAZONA 37713 ,19000,2800000,1000000
228,DIJAMANT 1570       ,19000,413500,2070000
229,Krist Bijela 27018DP,19000,2180000,550000
230,CRVENA 2149         ,19000,1620000,670000
231,DIJAMANT 1570       ,19000,2520000,458000
232,TRESNJA  ACCO 39345 ,19000,1800000,500000
233,CRNA SJAJ FUNDER    ,19000,2050000,780000
234,0080MR Crni god     ,19000,1840000,580000
235,Bijeli God 1101AW   ,19000,1360000,450000
236,BIJELI NK 1500P     ,19000,2070000,800000
237,Javor Class 34047NM ,19000,1370000,570000
238,HRAST AMAZONA 37713 ,19000,2800000,1000000
239,CRNA SJAJ FUNDER    ,19000,2050000,780000
242,Hem Barrique 34034SV,19000,2130500,453000
243,BUKVA 3381          ,19000,2800000,411500
244,BIJELI GL 1500S     ,19000,1776000,430000
245,HRAST 34139 PJESCANI,19000,2800000,820000
246,VIOLA 27167         ,19000,2064500,448000
247,Basalt 2166PE       ,19000,1780000,900000
248,Tik Makalo K4342RM  ,19000,2220000,430000
250,Robinia Bat K4329AW ,19000,2800000,1400000
251,Hr Sono Svje 34038AT,19000,1820000,700000
254,BIJELI GL 1500S     ,19000,2800000,500000
255,JASEN KAMENI 34056SU,19000,2800000,750000
256,Hr Prirodni 37307PR ,19000,2800000,810000
257,HRAST 34139 PJESCANI,19000,1640000,970000
258,TITAN 5853          ,19000,1580500,800000
259,CHAMPAGNE 27045     ,19000,2470000,480000
260,SIVA TAMNA 2162     ,19000,2070000,920000
262,BIJELI GL 1500S     ,19000,1206000,2070000
263,BIJELI GL 1500S     ,19000,2800000,1115000
264,BIJELA 01630 NK     ,18000,1695000,1012000
265,VIOLA 27167         ,19000,1740000,450000
266,CRNI NK 2190P       ,19000,2070000,1200000
267,CRNI NK 2190P       ,19000,2070000,400000
268,Oksid 34321DP       ,19000,2800000,590000
269,HRAST PJESCANI 37849,19000,580000,2070000
270,BIJELI NK 1500P     ,16000,1389000,2070000
271,MCR 5881            ,19000,1190500,2070000
272,ARTIC W SJAJ 606SG  ,19000,2800000,946000
273,BIJELI GL 1500S     ,19000,2070000,880000
274,0595FH PACIFIC      ,19000,1350000,795000
275,TAUPE GOD 27166SU   ,19000,2100000,1070000
276,BIJELI NK 1500P     ,19000,2070000,1120000
277,BIJELI GL 1500S     ,19000,1900000,890000
278,SIVI NK 2191        ,16000,2800000,1400000
279,Hr Prirodni 37307PR ,19000,2800000,1180000
280,HRAST DIVLJI 38932  ,19000,2800000,530000
303,Hr Tabbacco K4334AW ,19000,2270000,840000
304,PIJESAK 2515        ,19000,1585000,400000
305,DIJAMANT 1570       ,19000,2070000,1080000
306,0080MR Crni god     ,19000,1915500,470000
307,Hr Mongori 37745AT  ,19000,2800000,430000
308,BIJELI NK 1500P     ,19000,1680000,450000
309,HR MOCVARNI 37717A  ,19000,1960000,580000
310,JASEN KAMENI 34056SU,19000,2340000,580000
311,BIJELI NK 1500P     ,19000,2800000,496500
312,MAGNOLIJA GOD 2507SU,19000,1970000,950000
313,BUKVA 3876          ,19000,2800000,590000
314,MCR 5881            ,19000,1420500,720000
315,HRAST CLASSIC 34140 ,19000,2800000,540000
316,Hr Alp Snjez K4325AW,19000,2800000,740000
317,Hr Alp Snjez K4325AW,19000,2800000,740000
318,BIJELI GL 1500S     ,19000,2070000,490000
319,Hr Tabbacco K4334AW ,19000,2800000,680000
320,Bor Kodiak 34308AT  ,19000,2800000,450500
321,BIJELI 1615 FH FUND ,19000,1800000,950000
322,Hem Arktique 34092SV,19000,2800000,460000
323,BRIJEST LAVA 34055  ,19000,2800000,1390000
324,LAVANDA 27187       ,19000,2070000,420000
325,ZELENA MAMBA 27190  ,19000,1610000,950000
326,OCEAN 20245         ,19000,2500000,990000
327,Hr Alp Snjez K4325AW,19000,2800000,830000
328,PLANINSKI BOR FUNDER,19000,1657500,478000
330,Njezno Zelen 27178BS,19000,2380000,760000
331,BIJELI 1615 FH FUND ,19000,2070000,550000
